league,city,player_name,weekly_wage,yearly_salary,age,position,nationality
league-one,Barnsley,Slobodan Tedić,13000,676000,22,ST,Serbia
league-one,Barnsley,Herbie Kane,5200,270400,23,DM,England
league-one,Barnsley,Josh Benson,5100,265200,22,DM,England
league-one,Barnsley,Josh Martin,5100,265200,20,AM RLC,England
league-one,Barnsley,Jordan Williams,4100,213200,22,D RLC,England
league-one,Barnsley,Luca Connell,4000,208000,21,DM,Ireland
league-one,Barnsley,Nicky Cadden,3900,202800,25,D/WB/AM L,Scotland
league-one,Barnsley,Max Watters,3900,202800,23,ST,England
league-one,Barnsley,Tom Edwards,3600,187200,23,D RC,England
league-one,Barnsley,Adam Phillips,3500,182000,24,"DM, AM RC",England
league-one,Barnsley,Devante Cole,3400,176800,27,"AM RL, ST",England
league-one,Barnsley,Conor McCarthy,3400,176800,24,D C,Ireland
league-one,Barnsley,Jack Walton,3100,161200,24,GK,England
league-one,Barnsley,Jamie McCart,3100,161200,25,D C,Scotland
league-one,Barnsley,Liam Kitching,3000,156000,22,D LC,England
league-one,Barnsley,Robbie Cundy,2700,140400,25,D C,England
league-one,Barnsley,Jack Aitchison,2100,109200,22,"AM RLC, F C",Scotland
league-one,Barnsley,Matty Wolfe,1900,98800,22,DM,England
league-one,Barnsley,Mael de Gevigney,1900,98800,22,D C,France
league-one,Barnsley,Joe Ackroyd,610,31720,19,M C,England
league-one,Barnsley,Ziyad Larkeche,600,31200,19,D L,France
league-one,Barnsley,Aiden Marsh,600,31200,19,AM/F C,England
league-one,Barnsley,Charlie Winfield,580,30160,20,"D/WB L, M C",England
league-one,Barnsley,Jason Sraha,510,26520,19,D LC,England
league-one,Barnsley,Jordan Helliwell,510,26520,20,D/WB RL,England
league-one,Barnsley,Amir Ariely,500,26000,19,D C,Israel
league-one,Barnsley,Danny Benson,470,24440,18,D RC,England
league-one,Barnsley,Harrison Nejman,430,22360,18,AM RC,England
league-one,Barnsley,Tomas Kalinauskas,410,21320,22,AM RLC,Lithuania
league-one,Barnsley,Jack Butterfill,410,21320,18,ST,England
league-one,Barnsley,William Hondermarck,400,20800,21,"WB R, AM C",Ireland
league-one,Barnsley,Kieren Flavell,400,20800,18,GK,England
league-one,Barnsley,Keegan Hartley,400,20800,18,DM,England
league-one,Barnsley,Kareem Hassan-Smith,300,15600,19,D/WB/M R,England
league-one,Barnsley,Paul Cooper,300,15600,19,GK,England
league-one,Barnsley,Will Lancaster,280,14560,19,"D C, DM",England
league-one,Barnsley,Angus Chapman,230,11960,19,ST,Australia
league-one,Barnsley,Fábio Jaló,180,9360,16,"AM RL, ST",Portugal
league-one,Barnsley,Hayden Pickard,180,9360,16,D/WB/M L,England
league-one,Barnsley,Josiah Dyer,180,9360,17,ST,England
league-one,Barnsley,Joshua McKay,180,9360,17,D/WB/M R,England
league-one,Barnsley,Theo Chapman,180,9360,17,AM C,England
league-one,Barnsley,Matty Doyle,180,9360,17,D C,England
league-one,Barnsley,Rogan Ravenhill,180,9360,16,GK,England
league-one,Barnsley,Alex Joof,180,9360,17,D C,England
league-one,Barnsley,Luis Lacey,180,9360,17,D/WB L,England
league-one,Barnsley,Kynan Murchison,180,9360,17,D C,England
league-one,Barnsley,Charlie Hickingbottom,180,9360,17,M C,England
league-one,Barnsley,Jean Claude Makiessi,180,9360,17,M C,England
league-one,Barnsley,Alex Anaman,180,9360,17,ST,England
league-one,Barnsley,Mylan Benjamin,180,9360,17,"AM L, ST",England
league-one,Barnsley,Astin Brace,180,9360,16,D C,England
league-one,Barnsley,Vimal Yoganathan,180,9360,16,M C,Sri Lanka
league-one,Barnsley,Leo Farrell,180,9360,16,ST,England
league-one,Barnsley,Trent Carter-Rodgers,180,9360,16,GK,England
league-one,Barnsley,Luke Grimshaw,180,9360,16,D C,England
league-one,Barnsley,Jonathan Bland,180,9360,16,"D C, DM",England
league-one,Barnsley,Cole Hyde,180,9360,16,M C,England
league-one,Barnsley,Rafael Monteiro,180,9360,16,M C,Portugal
league-one,Barnsley,Emmaisa Nzondo,180,9360,16,ST,England
league-one,Blackpool,Ian Poveda,11000,572000,22,AM RL,England
league-one,Blackpool,Rhys Williams,10000,520000,21,D C,England
league-one,Blackpool,Callum Connolly,6400,332800,24,"D RC, DM",England
league-one,Blackpool,Gary Madine,6200,322400,31,ST,England
league-one,Blackpool,Jerry Yates,6100,317200,25,ST,England
league-one,Blackpool,Kevin Stewart,6000,312000,28,DM,England
league-one,Blackpool,Marvin Ekpiteta,5900,306800,26,D C,England
league-one,Blackpool,Callum Wright,5400,280800,22,AM RLC,England
league-one,Blackpool,Daniel Grimshaw,5400,280800,24,GK,England
league-one,Blackpool,Chris Maxwell,5400,280800,31,GK,Wales
league-one,Blackpool,Dominic Thompson,5400,280800,21,D/WB L,England
league-one,Blackpool,Jordan Gabriel,5100,265200,23,D/WB R,England
league-one,Blackpool,Lewis Fiorini,5000,260000,20,AM C,Scotland
league-one,Blackpool,Theo Corbeanu,4600,239200,20,"AM RL, ST",Canada
league-one,Blackpool,Charlie Patino,4400,228800,18,DM,England
league-one,Blackpool,James Husband,4100,213200,28,D LC,England
league-one,Blackpool,Jordan Thorniley,4100,213200,25,D C,England
league-one,Blackpool,Jake Beesley,4100,213200,25,ST,England
league-one,Blackpool,Kenny Dougall,4000,208000,29,DM,Australia
league-one,Blackpool,Liam Bridcutt,4000,208000,33,DM,Scotland
league-one,Blackpool,Luke Garbutt,4000,208000,29,D/WB L,England
league-one,Blackpool,CJ Hamilton,3400,176800,27,AM RL,England
league-one,Blackpool,Keshi Anderson,3000,156000,27,AM LC,England
league-one,Blackpool,Albie Morgan,2500,130000,22,AM C,England
league-one,Blackpool,Shayne Lavery,1600,83200,23,"AM L, ST",N.Ireland
league-one,Blackpool,Sonny Carey,1600,83200,21,AM C,England
league-one,Blackpool,Zak Emmerson,1000,52000,17,ST,England
league-one,Blackpool,Owen Moffat,800,41600,20,"AM L, ST",Scotland
league-one,Blackpool,Karamoko Dembélé,760,39520,19,AM RL,England
league-one,Blackpool,Richard O'Donnell,700,36400,33,GK,England
league-one,Blackpool,Stuart Moore,600,31200,27,GK,England
league-one,Blackpool,Donovan Lescott,520,27040,18,"AM RL, ST",England
league-one,Blackpool,Jack Moore,510,26520,18,D/WB R,England
league-one,Blackpool,Alex Lankshear,500,26000,19,"D L, M C",England
league-one,Blackpool,Jake Daniels,410,21320,17,ST,England
league-one,Blackpool,Luke Mariette,390,20280,18,M C,Wales
league-one,Blackpool,Brad Holmes,390,20280,19,ST,England
league-one,Blackpool,Harvey Hughes,380,19760,18,D LC,England
league-one,Blackpool,Tayt Trusty,310,16120,18,AM LC,England
league-one,Blackpool,Joseph Strawn,310,16120,18,M C,England
league-one,Blackpool,Will Squires,280,14560,18,D C,England
league-one,Blackpool,Kwaku Donkor,180,9360,17,D/WB R,Ghana
league-one,Blackpool,Dannen Francis,180,9360,18,AM R,England
league-one,Blackpool,Tyler Hill,180,9360,16,D LC,England
league-one,Blackpool,Archie Cunningham,180,9360,17,GK,England
league-one,Blackpool,Kobe Sinclair,180,9360,17,AM C,England
league-one,Blackpool,Josh Nyame,180,9360,17,"D C, DM",England
league-one,Blackpool,Ezra Emina,180,9360,16,WB L,England
league-one,Blackpool,Johnson Opawole,180,9360,16,D C,England
league-one,Blackpool,Taylor Bowen,180,9360,16,ST,England
